番号,古墳名,所在,座標,座標,墳丘規模
1,不二山古墳,前橋市文京町3-151-6,36.37889913,139.0869726,54.5m
2,金冠塚古墳,前橋市山王町1-13-3,36.352661,139.119184,53m
3,王山古墳,前橋市大渡町163,36.39689254,139.0501075,72m
4,総社二子山古墳,前橋市総社町植野368,36.41128455,139.0344233,90
5,オブ塚古墳,前橋市勝沢420,36.42520685,139.0999927,35
6,五代大目塚古墳,前橋市五代町214,36.41190797,139.1092826,
7,正円寺古墳,前橋市堀之下町162,36.39182612,139.1242174,70
8,伊勢山古墳,前橋市西大室町伊勢山623,36.3891905,139.1844144,67
9,前二子古墳,前橋市西大室町2657?4,36.386193,139.196153,94
10,子二子古墳,前橋市西大室町2142,36.38955324,139.1950853,38
11,後二子古墳,前橋市西大室町2617,36.38892708,139.1944486,85
12,阿久山古墳,前橋市下大屋町阿久山530,36.39222319,139.1729992,28
13,桂萱大塚古墳,前橋市東片貝町464-1,36.38679185,139.1054629,57
14,九十九山古墳,前橋市富士見町原之郷275,36.438058,139.060824,60
15,岩神米山古墳,前橋市岩神町3-12-23,36.405451,139.05649,70
16,漆山古墳,高崎市下佐野町蔵王塚863,36.29623187,139.0290285,61.2
17,前山古墳,高崎市下滝町境内,36.318893,139.073933,60
18,五霊神社古墳,高崎市貝沢町井野前332,36.34404425,139.0245072,45
19,山名伊勢塚古墳,高崎市山名町779,36.27246772,139.0390975,75
20,八幡遺跡１５号墳,高崎市八幡町800-96,36.341258,138.939911,30
21,（八幡）観音塚古墳,高崎市後観音1087,36.34168669,138.9411502,97
22,八幡二子塚古墳,高崎市八幡町字二子塚796,36.3399064,138.9466105,66
23,浜尻天王山古墳,高崎市浜尻町八坂西962,36.355126,139.017664,53
24,綿貫観音山古墳,高崎市綿貫町観音山1572,36.3074091,139.07747,97
25,一ノ関古墳,伊勢崎市本関町1298,36.35388831,139.209743,（推）50m
26,安堀古墳,伊勢崎市安堀町1079,36.33390754,139.1793634,73.3
27,蛇塚古墳,伊勢崎市目乃出町377,36.322818,139.213418,55.2
28,古城稲荷山古墳,伊勢崎市稲荷町847,36.32603,139.143889,56
29,阿弥陀古墳,伊勢崎市南千木町2302,36.299838,139.211847,45
30,下谷古墳群下谷A号墳,伊勢崎市東小保方町3892,36.32800392,139.247285,57
31,雷電神社跡古墳,伊勢崎市東小保方町3861,36.321465,139.248494,60
32,雷電神社古墳,伊勢崎市境伊予久3587,36.27359951,139.2548162,50
33,神淵名雙児山古墳,伊勢崎市上淵名957,36.31698998,139.2143848,90
34,轟山A号墳,伊勢崎市赤堀今井町2-1044-2,36.388341,139.216118,36
35,庚塚古墳群庚塚,伊勢崎市下触町177,36.366455,139.194519,48.4
36,洞山古墳,伊勢崎市五目牛町82,36.35981559,139.2097302,22
37,御嶽神社古墳,太田市高林町1796,36.30005796,139.3486975,100
38,今泉口八幡山古墳,太田市東今泉町2179,36.32610618,139.3840944,60
39,東矢島古墳群割地山古墳,太田市南八島604-1,36.30005796,139.3486975,105
41,二ツ山古墳１号墳,太田市天良町167-85,36.3366654,139.3279712,74
42,二ツ山古墳２号墳,太田市天良町167-172,36.3359697,139.328754,45
43,西山古墳,太田市藪塚町3519-2,36.36220903,139.3117019,34
44,諏訪神社古墳,藤岡市藤岡字東裏甲495,36.2400548,139.0815955,57
45,霊符殿古墳,藤岡市藤岡字東裏戌462,36.241236,139.081262,
46,戸塚神社古墳,藤岡市上戸塚字熊野363,36.246317,139.090031,53
47,本郷二子山古墳,藤岡市本郷字塚原甲352,36.22759503,139.076378,33
48,高橋塚古墳,藤岡市神田字塚間乙1330,36.21262534,139.0641272,24
49,荻原塚古墳,藤岡市白石字滝1925,36.2499334,139.0359662,40
50,堂山稲荷古墳,富岡市一ノ宮字南平甲115,36.250235,138.859698,50
51,一ノ宮４号墳,富岡市一ノ宮字118,36.24885041,138.8616967,48
52,粘土山古墳,富岡市高瀬字神田2205,36.25156719,138.8852429,62
53,双子塚古墳,富岡市高瀬字桐渕1964,36.25023477,138.8868891,50
54,太子堂塚古墳,富岡市一ノ宮字本宿245,36.25396614,138.8572476,60
55,御三社古墳,富岡市七日市字旧郭1425,36.256078,138.874695,30
56,簗瀬二子塚古墳,安中市簗瀬字八幡平754,36.310196,138.858867,80
57,高塚古墳,北群馬郡榛東村大字新井字高塚2974,36.43138314,138.9808826,60
58,長久保古墳群３１号墳,北群馬郡榛東村大字新井字長久保2870,36.425553,139.001587,52.5
59,大薮城山古墳,北群馬郡吉岡町大字南下字大藪177,36.43969058,138.9964024,53
60,笹森古墳,甘楽群甘楽町大字福島字笹ノ森1348,36.251496,138.923779,100
61,川井稲荷山古墳,佐波郡玉村町大字川井1998,36.28654262,139.1463387,40
62,浄土山古墳,佐波郡玉村町大字下茂木900,36.29130538,139.133206,51
63,道明山古墳,邑楽郡板倉町大字岩田字道明1540,36.22477311,139.5901473,36
64,舟山古墳,邑楽郡板倉町大字岩田字風張2630,36.22124024,139.594074,66
65,筑波山古墳,邑楽郡板倉町大字岩田字風張2630,36.22400559,139.582739,53.5
66,西ノ原古墳群１号墳,邑楽郡千代田町大字新福島字西ノ原277-1,36.21449582,139.4478335,60
67,桜山古墳群１号墳,邑楽郡千代田町大字赤岩字桜山甲1037,36.208677,139.439671,90
